desc_barrio_local,Superficie_Total
ABRANTES            ,938.32
ACACIAS             ,3461.64
ADELFAS             ,591.68
AEROPUERTO          ,41.28
ALAMEDA DE OSUNA    ,677.16
ALMAGRO             ,3385.23
ALMENARA            ,603.1
ALMENDRALES         ,686.48
ALUCHE              ,3350.04
AMPOSTA             ,624.85
APOSTOL SANTIAGO    ,334.07
ARAPILES            ,2880.67
ARAVACA             ,655.3199999999999
ARCOS               ,1143.56
ARGUELLES           ,2171.54
ATOCHA              ,173.88
BELLAS VISTAS       ,464.13
BERRUGUETE          ,1052.85
BUENAVISTA          ,1909.12
BUTARQUE            ,1019.87
CAMPAMENTO          ,462.31
CANILLAS            ,1904.98
CANILLEJAS          ,956.14
CASA DE CAMPO       ,1707.73
CASCO H.BARAJAS     ,826.08
CASCO H.VALLECAS    ,2641.56
CASCO H.VICALVARO   ,1103.39
CASTELLANA          ,2738.87
CASTILLA            ,1652.54
CASTILLEJOS         ,2283.06
CHOPERA             ,1566.2
CIUDAD JARDIN       ,2083.43
CIUDAD UNIVERSITARIA,721.51
COLINA              ,109.0
COMILLAS            ,581.12
CONCEPCION          ,1484.27
CORRALEJOS          ,373.58
CORTES              ,1844.78
COSTILLARES         ,607.51
CUATRO CAMINOS      ,3992.92
CUATRO VIENTOS      ,46.05
DELICIAS            ,1558.93
EL CAÑAVERAL,56.02
EL GOLOSO           ,1325.02
EL PARDO            ,634.3
EL PILAR            ,3200.18
EL SALVADOR         ,422.07
EL VISO             ,3458.94
EMBAJADORES         ,2499.47
ENSANCHE DE VALLECAS,2794.01
ENTREVIAS           ,1624.0
ESTRELLA            ,640.07
FONTARRON           ,550.39
FUENTE DEL BERRO    ,665.01
GAZTAMBIDE          ,2503.78
GOYA                ,3319.92
GUINDALERA          ,1747.17
HELLIN              ,277.94
HISPANOAMERICA      ,4622.34
HORCAJO             ,374.71000000000004
IBIZA               ,3568.34
IMPERIAL            ,1813.42
JUSTICIA            ,1792.33
LA PAZ              ,891.97
LAS AGUILAS         ,3985.6
LEGAZPI             ,1713.8899999999999
LISTA               ,2854.88
LOS ANGELES         ,2810.7200000000003
LOS CARMENES        ,420.26
LOS JERONIMOS       ,1566.29
LOS ROSALES         ,1717.09
LUCERO              ,945.9
MARROQUINA          ,3330.41
MEDIA LEGUA         ,846.04
MIRASIERRA          ,1362.02
MOSCARDO            ,1438.02
NIÑO JESUS          ,1126.24
NUEVA ESPAÑA        ,3936.2599999999998
NUMANCIA            ,1447.83
OPAÑEL              ,1890.45
ORCASITAS           ,1120.67
ORCASUR             ,519.45
PACIFICO            ,2092.12
PALACIO             ,3941.33
PALOMAS             ,489.86999999999995
PALOMERAS BAJAS     ,1843.86
PALOMERAS SURESTE   ,1895.57
PALOS DE MOGUER     ,2922.22
PAVONES             ,741.88
PEÑA GRANDE         ,1590.0900000000001
PINAR DEL REY       ,3569.62
PIOVERA             ,660.46
PORTAZGO            ,2150.36
PRADOLONGO          ,231.36
PROSPERIDAD         ,3778.5299999999997
PUEBLO NUEVO        ,1356.3
PUERTA BONITA       ,654.3
PUERTA DEL ANGEL    ,1794.23
QUINTANA            ,791.85
RECOLETOS           ,4135.01
REJAS               ,188.0
RIOS ROSAS          ,4557.95
ROSAS               ,3209.7400000000002
SAN ANDRES          ,1387.42
SAN CRISTOBAL       ,893.81
SAN DIEGO           ,1302.67
SAN FERMIN          ,775.59
SAN ISIDRO          ,730.65
SAN JUAN BAUTISTA   ,549.97
SAN PASCUAL         ,357.13
SANTA EUGENIA       ,1523.31
SIMANCAS            ,1582.88
SOL                 ,5817.65
TIMON               ,836.49
TRAFALGAR           ,4058.0
UNIVERSIDAD         ,2089.17
VALDEACEDERAS       ,766.68
VALDEBERNARDO,893.0
VALDEFUENTES        ,2172.37
VALDEMARIN          ,132.19
VALDERRIVAS,279.39
VALDEZARZA          ,567.64
VALLEHERMOSO        ,2963.61
VALVERDE            ,3519.24
VENTAS              ,1330.55
VINATEROS           ,1024.16
VISTA ALEGRE        ,1849.91
ZOFIO               ,729.86
