id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,id_planta_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,ratio_Superficie_id
7,280067128,20,SAN BLAS-CANILLEJAS ,2005,ROSAS               ,20157611,2443,CALLE                   ,SOFIA                                             ,NUM,177,28022,0.0,0.0,1,Puerta Calle,1,Abierto,10,PB,0.0,0.0,SR,2,Estacional,1,Abierta,7.2,0.0,2014-03-24,20157611,1,2443,CALLE                   ,SOFIA                                             ,NUM,177, A,Acera,08:00:00,01:30:00,0,0,08:00:00,01:30:00,0,0,0,0.0,5,0.0,10,1.0285714285714287
33,270403150,4,SALAMANCA           ,404,GUINDALERA          ,11018870,42500,AVENIDA                 ,AMERICA                                           ,NUM,2,28028,0.0,0.0,1,Puerta Calle,1,Abierto,30,PB,0.0,0.0,HONTANARES,1,Anual,1,Abierta,21.06,21.06,2014-04-04,11018870,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,2,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,9,9.0,27,0.6381818181818182
34,270078567,4,SALAMANCA           ,404,GUINDALERA          ,11018555,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,25,28028,0.0,0.0,1,Puerta Calle,1,Abierto,10,PB,0.0,0.0,BAR MARISQUERIA LUIS,1,Anual,1,Abierta,11.16,11.16,2014-04-04,11018555,1,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,25,  ,Calle peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,4,0.0,14,0.32823529411764707
36,40002021,4,SALAMANCA           ,404,GUINDALERA          ,11018545,10100,CALLE                   ,AGUSTIN DURAN                                     ,NUM,10,28028,0.0,0.0,1,Puerta Calle,1,Abierto,20,PB,0.0,0.0,SAGAR,2,Estacional,1,Abierta,7.2,0.0,2014-04-07,11018548,1,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,22,  ,Calle peatonal,10:00:00,00:00:00,0,0,10:00:00,00:00:00,0,0,0,0.0,5,0.0,10,0.2
40,40002808,4,SALAMANCA           ,401,RECOLETOS           ,11014033,85200,CALLE                   ,AYALA                                             ,NUM,14,28001,0.0,0.0,1,Puerta Calle,1,Abierto,10,PB,0.0,0.0,WAGABOO,1,Anual,1,Abierta,25.48,25.48,2014-04-07,11014033,1,85200,CALLE                   ,AYALA                                             ,NUM,14,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,1,1.0,8,8.0,24,0.637
41,270495851,4,SALAMANCA           ,401,RECOLETOS           ,11013652,88904333,CALLE                   ,ALCALA                                            ,NUM,59,28014,0.0,0.0,1,Puerta Calle,1,Abierto,10,PB,0.0,0.0,THE JAMES JOYCE IRISH PUB,1,Anual,1,Abierta,21.04,21.04,2014-04-07,11013652,1,88904333,CALLE                   ,ALCALA                                            ,NUM,59,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,6,6.0,24,0.5131707317073171
44,40001459,4,SALAMANCA           ,404,GUINDALERA          ,11018130,42500,AVENIDA                 ,AMERICA                                           ,NUM,32,28028,0.0,0.0,1,Puerta Calle,1,Abierto,10,PB,0.0,0.0,HOTEL ABBA MADRID,2,Estacional,1,Abierta,19.44,0.0,2014-04-07,11018130,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,32,  ,Acera,10:00:00,01:00:00,0,0,10:00:00,02:30:00,0,0,0,0.0,6,0.0,24,0.44181818181818183
50,180000457,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,20150818,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,NUM,5,28031,0.0,0.0,1,Puerta Calle,1,Abierto,10,PB,0.0,0.0,LA CHOZITA,1,Anual,1,Abierta,84.68,64.99,2014-04-10,20150818,1,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,NUM,5,  ,Plaza peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,27,21.0,92,1.6936000000000002
51,270076142,4,SALAMANCA           ,404,GUINDALERA          ,11016970,88904333,CALLE                   ,ALCALA                                            ,NUM,225,28028,0.0,0.0,1,Puerta Calle,1,Abierto,10,PB,0.0,0.0,EL NUEVO RINCÓN DE JAÉN,1,Anual,1,Abierta,21.66,21.66,2014-04-14,11016970,1,88904333,CALLE                   ,ALCALA                                            ,NUM,225,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,8,8.0,25,0.42470588235294116
52,270071068,4,SALAMANCA           ,402,GOYA                ,11014645,88904333,CALLE                   ,ALCALA                                            ,NUM,127,28009,0.0,0.0,1,Puerta Calle,1,Abierto,20,PB,0.0,0.0,VIENA CAPELLANES,1,Anual,1,Abierta,12.43,12.43,2014-04-14,11014645,1,88904333,CALLE                   ,ALCALA                                            ,NUM,127,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,3,3.0,9,0.23903846153846153
